,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,B04,HEX,,Unkn-02,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B05,HEX,,Unkn-10,,,15.01,15.07,0.090,0.00288,-2.540,0.00279,0.00014,60.0,
,B06,HEX,,Unkn-10,,,15.14,15.07,0.090,0.00269,-2.571,0.00279,0.00014,60.0,
,B07,HEX,,Unkn-18,,,38.73,38.90,0.244,0.00000,-8.247,0.00000,0.00000,60.0,
,B08,HEX,,Unkn-18,,,39.08,38.90,0.244,0.00000,-8.330,0.00000,0.00000,60.0,
,B09,HEX,,Unkn-26,,,30.23,30.13,0.128,0.00000,-6.201,0.00000,0.00000,60.0,
,B10,HEX,,Unkn-26,,,30.04,30.13,0.128,0.00000,-6.157,0.00000,0.00000,60.0,
,B11,HEX,,Unkn-33,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B12,HEX,,Unkn-33,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C03,HEX,,Unkn-03,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C04,HEX,,Unkn-03,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C05,HEX,,Unkn-11,,,16.91,16.97,0.079,0.00100,-2.998,0.00097,0.00004,60.0,
,C06,HEX,,Unkn-11,,,17.02,16.97,0.079,0.00094,-3.025,0.00097,0.00004,60.0,
,C07,HEX,,Unkn-19,,,33.78,34.31,0.759,0.00000,-7.055,0.00000,0.00000,60.0,
,C08,HEX,,Unkn-19,,,34.85,34.31,0.759,0.00000,-7.313,0.00000,0.00000,60.0,
,C09,HEX,,Unkn-27,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C10,HEX,,Unkn-27,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C11,HEX,,Unkn-34,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C12,HEX,,Unkn-34,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D01,HEX,,Std-04,,,22.37,22.23,0.205,0.00010,-4.000,0.00010,0.00000,60.0,
,D02,HEX,,Std-04,,,22.08,22.23,0.205,0.00010,-4.000,0.00010,0.00000,60.0,
,D03,HEX,,Unkn-04,,,32.70,32.44,0.354,0.00000,-6.795,0.00000,0.00000,60.0,
,D04,HEX,,Unkn-04,,,32.19,32.44,0.354,0.00000,-6.674,0.00000,0.00000,60.0,
,D05,HEX,,Unkn-12,,,32.83,32.72,0.153,0.00000,-6.826,0.00000,0.00000,60.0,
,D06,HEX,,Unkn-12,,,32.61,32.72,0.153,0.00000,-6.774,0.00000,0.00000,60.0,
,D07,HEX,,Unkn-20,,,37.14,37.35,0.286,0.00000,-7.865,0.00000,0.00000,60.0,
,D08,HEX,,Unkn-20,,,37.55,37.35,0.286,0.00000,-7.962,0.00000,0.00000,60.0,
,D09,HEX,,Unkn-28,,,33.60,33.81,0.296,0.00000,-7.013,0.00000,0.00000,60.0,
,D10,HEX,,Unkn-28,,,34.02,33.81,0.296,0.00000,-7.113,0.00000,0.00000,60.0,
,D11,HEX,,Unkn-35,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D12,HEX,,Unkn-35,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E01,HEX,,Std-05,,,24.69,24.58,0.167,0.00001,-5.000,0.00001,0.00000,60.0,
,E02,HEX,,Std-05,,,24.46,24.58,0.167,0.00001,-5.000,0.00001,0.00000,60.0,
,E03,HEX,,Unkn-05,,,38.00,38.19,0.269,0.00000,-8.072,0.00000,0.00000,60.0,
,E04,HEX,,Unkn-05,,,38.39,38.19,0.269,0.00000,-8.163,0.00000,0.00000,60.0,
,E05,HEX,,Unkn-13,,,34.07,34.03,0.062,0.00000,-7.125,0.00000,0.00000,60.0,
,E06,HEX,,Unkn-13,,,33.98,34.03,0.062,0.00000,-7.104,0.00000,0.00000,60.0,
